id,monthName,monthYear,orderIndex,titre,missingCorrection,missingCorrectionFields,sameOpinion,opinion1,opinion2,emptyDoc,emptyDocFields,missingRequiredField,missingRequiredFields
241,Août 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
242,Août 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
243,Août 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
244,Août 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
245,Août 2025,2025,5,Combinaison 5,false,,true,pour,pour,false,,false,
246,Août 2025,2025,6,Combinaison 6,false,,true,pour,pour,false,,false,
247,Août 2025,2025,7,Combinaison 7,false,,true,contre,contre,false,,false,
248,Août 2025,2025,8,Combinaison 8,false,,true,pour,pour,false,,false,
249,Août 2025,2025,9,Combinaison 9,false,,true,pour,pour,false,,false,
250,Août 2025,2025,10,Combinaison 10,false,,true,pour,pour,false,,false,
251,Août 2025,2025,11,Combinaison 11,false,,true,pour,pour,false,,false,
252,Août 2025,2025,12,Combinaison 12,false,,true,pour,pour,false,,false,
253,Août 2025,2025,13,Combinaison 13,false,,true,pour,pour,false,,false,
254,Août 2025,2025,14,Combinaison 14,false,,true,pour,pour,false,,false,
255,Août 2025,2025,15,Combinaison 15,false,,true,pour,pour,false,,false,
257,Avril 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
258,Avril 2025,2025,2,Combinaison 2,true,tache2Correction,true,pour,pour,false,,true,tache2Correction
259,Avril 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
260,Avril 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
261,Avril 2025,2025,5,Combinaison 5,false,,true,pour,pour,false,,false,
262,Avril 2025,2025,6,Combinaison 6,false,,true,pour,pour,false,,false,
263,Avril 2025,2025,7,Combinaison 7,false,,true,pour,pour,false,,false,
264,Avril 2025,2025,8,Combinaison 8,false,,true,pour,pour,false,,false,
265,Avril 2025,2025,9,Combinaison 9,false,,true,pour,pour,false,,true,tache3Titre
267,Avril 2025,2025,11,Combinaison 11,false,,true,pour,pour,false,,true,tache3Titre
268,Avril 2025,2025,12,Combinaison 12,false,,true,pour,pour,false,,true,tache3Titre
269,Avril 2025,2025,13,Combinaison 13,false,,true,pour,pour,false,,true,tache3Titre
270,Avril 2025,2025,14,Combinaison 14,false,,true,pour,pour,false,,false,
271,Avril 2025,2025,15,Combinaison 15,false,,true,pour,pour,false,,false,
272,Avril 2025,2025,16,Combinaison 16,false,,true,pour,pour,false,,false,
273,Avril 2025,2025,17,Combinaison 17,false,,true,pour,pour,false,,false,
274,Avril 2025,2025,18,Combinaison 18,true,tache1Correction|tache2Correction|tache3Correction,true,pour,pour,false,,true,tache1Correction|tache2Correction|tache3Correction
275,Avril 2025,2025,19,Combinaison 19,true,tache1Correction|tache2Correction|tache3Correction,true,pour,pour,false,,true,tache1Correction|tache2Correction|tache3Correction
276,Avril 2025,2025,20,Combinaison 20,true,tache1Correction|tache2Correction|tache3Correction,true,pour,pour,false,,true,tache1Correction|tache2Correction|tache3Correction
277,Décembre 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
278,Décembre 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
279,Décembre 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
281,Janvier 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
282,Janvier 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
283,Janvier 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
284,Janvier 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
285,Janvier 2025,2025,5,Combinaison 5,false,,true,pour,pour,false,,false,
286,Janvier 2025,2025,6,Combinaison 6,false,,true,pour,pour,false,,false,
288,Janvier 2025,2025,8,Combinaison 8,false,,true,pour,pour,false,,false,
289,Janvier 2025,2025,9,Combinaison 9,true,tache1Correction|tache2Correction|tache3Correction,true,pour,pour,false,,true,tache1Correction|tache2Correction|tache3Correction
291,Janvier 2025,2025,11,Combinaison 11,false,,true,pour,pour,false,,false,
292,Janvier 2025,2025,12,Combinaison 12,false,,true,pour,pour,false,,false,
293,Janvier 2025,2025,13,Combinaison 13,false,,true,pour,pour,false,,false,
294,Janvier 2025,2025,14,Combinaison 14,false,,true,pour,pour,false,,false,
295,Janvier 2025,2025,15,Combinaison 15,false,,true,pour,pour,false,,false,
296,Janvier 2025,2025,16,Combinaison 16,false,,true,pour,pour,false,,false,
297,Janvier 2025,2025,17,Combinaison 17,false,,true,pour,pour,false,,false,
298,Janvier 2025,2025,18,Combinaison 18,false,,true,pour,pour,false,,false,
299,Janvier 2025,2025,19,Combinaison 19,false,,true,pour,pour,false,,false,
300,Juillet 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
301,Juillet 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
302,Juillet 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
303,Juillet 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
304,Juillet 2025,2025,5,Combinaison 5,false,,true,pour,pour,false,,false,
305,Juillet 2025,2025,6,Combinaison 6,false,,true,pour,pour,false,,false,
306,Juillet 2025,2025,7,Combinaison 7,false,,true,pour,pour,false,,false,
307,Juillet 2025,2025,8,Combinaison 8,false,,true,pour,pour,false,,false,
308,Juillet 2025,2025,9,Combinaison 9,false,,true,pour,pour,false,,false,
309,Juillet 2025,2025,10,Combinaison 10,false,,true,pour,pour,false,,false,
310,Juillet 2025,2025,11,Combinaison 11,false,,true,pour,pour,false,,false,
311,Juillet 2025,2025,12,Combinaison 12,false,,true,pour,pour,false,,false,
312,Juillet 2025,2025,13,Combinaison 13,false,,true,pour,pour,false,,false,
313,Juillet 2025,2025,14,Combinaison 14,false,,true,pour,pour,false,,false,
316,Juillet 2025,2025,17,Combinaison 17,false,,true,pour,pour,false,,false,
317,Juillet 2025,2025,18,Combinaison 18,false,,true,pour,pour,false,,false,
318,Juillet 2025,2025,19,Combinaison 19,false,,true,pour,pour,false,,false,
319,Juillet 2025,2025,20,Combinaison 20,false,,true,pour,pour,false,,false,
320,Juin 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
321,Juin 2025,2025,2,Combinaison 2,false,,false,pour,contre,true,tache3Document2.contenu,true,tache3Document2.contenu
322,Juin 2025,2025,3,Combinaison 3,false,,false,pour,contre,true,tache3Document2.contenu,true,tache3Document2.contenu
323,Mai 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
324,Mai 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
325,Mai 2025,2025,3,Combinaison 3,true,tache1Correction,true,pour,pour,false,,true,tache1Correction|tache3Titre
326,Mai 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
327,Mars 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
328,Mars 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
329,Mars 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
330,Mars 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
331,Mars 2025,2025,5,Combinaison 5,false,,true,pour,pour,false,,false,
332,Mars 2025,2025,6,Combinaison 6,false,,true,pour,pour,false,,false,
333,Mars 2025,2025,7,Combinaison 7,false,,true,pour,pour,false,,false,
334,Mars 2025,2025,8,Combinaison 8,false,,true,pour,pour,false,,false,
335,Mars 2025,2025,9,Combinaison 9,false,,true,pour,pour,false,,false,
336,Mars 2025,2025,10,Combinaison 10,false,,true,pour,pour,false,,false,
337,Mars 2025,2025,11,Combinaison 11,false,,true,pour,pour,false,,false,
338,Mars 2025,2025,12,Combinaison 12,false,,true,pour,pour,false,,false,
339,Mars 2025,2025,13,Combinaison 13,false,,true,pour,pour,false,,false,
340,Mars 2025,2025,14,Combinaison 14,false,,true,pour,pour,false,,false,
341,Novembre 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
342,Novembre 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
343,Novembre 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
344,Novembre 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
345,Novembre 2025,2025,5,Combinaison 5,false,,true,pour,pour,false,,false,
346,Novembre 2025,2025,6,Combinaison 6,false,,true,pour,pour,false,,false,
347,Novembre 2025,2025,7,Combinaison 7,false,,true,pour,pour,false,,false,
348,Novembre 2025,2025,8,Combinaison 8,false,,true,pour,pour,false,,false,
349,Novembre 2025,2025,9,Combinaison 9,false,,true,pour,pour,false,,false,
350,Novembre 2025,2025,10,Combinaison 10,false,,true,pour,pour,false,,false,
351,Novembre 2025,2025,11,Combinaison 11,false,,true,pour,pour,false,,false,
352,Novembre 2025,2025,12,Combinaison 12,false,,true,pour,pour,false,,false,
354,Octobre 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
355,Octobre 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
356,Octobre 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
357,Septembre 2025,2025,1,Combinaison 1,false,,true,pour,pour,false,,false,
358,Septembre 2025,2025,2,Combinaison 2,false,,true,pour,pour,false,,false,
359,Septembre 2025,2025,3,Combinaison 3,false,,true,pour,pour,false,,false,
360,Septembre 2025,2025,4,Combinaison 4,false,,true,pour,pour,false,,false,
361,Septembre 2025,2025,5,Combinaison 5,false,,true,pour,pour,false,,false,
362,Septembre 2025,2025,6,Combinaison 6,false,,true,pour,pour,false,,false,
363,Septembre 2025,2025,7,Combinaison 7,false,,true,pour,pour,false,,false,
364,Août 2024,2024,1,Combinaison 1,true,tache2Correction|tache3Correction,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache2Correction|tache3Correction|tache3Document1.contenu|tache3Document2.contenu
365,Août 2024,2024,2,Combinaison 2,true,tache2Correction|tache3Correction,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache2Correction|tache3Correction|tache3Document1.contenu|tache3Document2.contenu
366,Août 2024,2024,3,Combinaison 3,true,tache2Correction|tache3Correction,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache2Correction|tache3Correction|tache3Document1.contenu|tache3Document2.contenu
367,Août 2024,2024,4,Combinaison 4,true,tache2Correction|tache3Correction,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache2Correction|tache3Correction|tache3Document1.contenu|tache3Document2.contenu
368,Août 2024,2024,5,Combinaison 5,true,tache2Correction|tache3Correction,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache2Correction|tache3Correction|tache3Document1.contenu|tache3Document2.contenu
369,Août 2024,2024,6,Combinaison 6,true,tache2Correction|tache3Correction,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache2Correction|tache3Correction|tache3Document1.contenu|tache3Document2.contenu
370,Décembre 2024,2024,1,Combinaison 1,true,tache1Correction,true,pour,pour,false,,true,tache1Correction
371,Décembre 2024,2024,2,Combinaison 2,true,tache1Correction,true,pour,pour,false,,true,tache1Correction
372,Décembre 2024,2024,3,Combinaison 3,false,,true,pour,pour,false,,false,
373,Décembre 2024,2024,4,Combinaison 4,false,,true,pour,pour,false,,false,
374,Décembre 2024,2024,5,Combinaison 5,false,,true,pour,pour,false,,false,
375,Décembre 2024,2024,6,Combinaison 6,false,,true,pour,pour,false,,false,
376,Décembre 2024,2024,7,Combinaison 7,false,,true,pour,pour,false,,false,
377,Décembre 2024,2024,8,Combinaison 8,false,,true,pour,pour,false,,false,
378,Décembre 2024,2024,9,Combinaison 9,false,,true,pour,pour,false,,false,
379,Décembre 2024,2024,10,Combinaison 10,false,,true,pour,pour,false,,false,
380,Décembre 2024,2024,11,Combinaison 11,false,,true,pour,pour,false,,false,
381,Décembre 2024,2024,12,Combinaison 12,false,,true,pour,pour,false,,false,
382,Décembre 2024,2024,13,Combinaison 13,false,,true,pour,pour,false,,false,
385,Décembre 2024,2024,16,Combinaison 16,false,,true,pour,pour,false,,false,
386,Décembre 2024,2024,17,Combinaison 17,false,,true,pour,pour,false,,false,
387,Décembre 2024,2024,18,Combinaison 18,false,,true,pour,pour,false,,false,
388,Décembre 2024,2024,19,Combinaison 19,false,,true,pour,pour,false,,false,
389,Juillet 2024,2024,1,Combinaison 1,true,tache1Correction|tache2Correction|tache3Correction,true,pour,pour,false,,true,tache1Correction|tache2Correction|tache3Correction
390,Juillet 2024,2024,2,Combinaison 2,true,tache1Correction|tache2Correction|tache3Correction,true,pour,pour,false,,true,tache1Correction|tache2Correction|tache3Correction
391,Juillet 2024,2024,3,Combinaison 3,true,tache1Correction|tache3Correction,true,pour,pour,false,,true,tache1Correction|tache3Correction
392,Juillet 2024,2024,4,Combinaison 4,true,tache3Correction,true,pour,pour,false,,true,tache3Correction
393,Juillet 2024,2024,5,Combinaison 5,true,tache3Correction,true,pour,pour,false,,true,tache3Correction
394,Juillet 2024,2024,6,Combinaison 6,true,tache3Correction,true,pour,pour,false,,true,tache3Titre|tache3Correction
395,Juillet 2024,2024,7,Combinaison 7,false,,true,pour,pour,false,,true,tache3Titre
396,Juillet 2024,2024,8,Combinaison 8,false,,false,pour,contre,false,,true,tache3Titre
397,Juillet 2024,2024,9,Combinaison 9,false,,true,pour,pour,false,,true,tache3Titre
398,Juillet 2024,2024,10,Combinaison 10,false,,true,pour,pour,false,,false,
399,Juillet 2024,2024,11,Combinaison 11,false,,true,pour,pour,false,,false,
400,Juillet 2024,2024,12,Combinaison 12,false,,true,pour,pour,false,,false,
401,Juillet 2024,2024,13,Combinaison 13,false,,true,pour,pour,false,,false,
402,Juillet 2024,2024,14,Combinaison 14,false,,true,pour,pour,false,,false,
403,Juillet 2024,2024,15,Combinaison 15,false,,true,pour,pour,false,,false,
404,Juillet 2024,2024,16,Combinaison 16,false,,true,pour,pour,false,,false,
405,Juillet 2024,2024,17,Combinaison 17,false,,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache3Document1.contenu|tache3Document2.contenu
406,Juillet 2024,2024,18,Combinaison 18,false,,false,pour,contre,true,tache3Document1.contenu|tache3Document2.contenu,true,tache3Document1.contenu|tache3Document2.contenu
407,Juillet 2024,2024,19,Combinaison 19,false,,true,pour,pour,false,,false,
